          id  timestamp  track  channel  event  note  midi_value  sustain
286    23749          0      0        1     71    80         286        0
287    23973          1      0        0     63     0         287        0
288    23973          1      0        0     68     0         288        0
289    23986          0      0        0     71     0         289        0
290    23999          0      0        1     73    80         290        0
291    23999          1      0        1     57    68         291        0
292    24001          1      0        3     64     0         292        0
293    24002          1      0        3     64   127         293        0
294    24473          0      0        0     73     0         294        0
295    24473          1      0        0     57     0         295        0
296    24499          0      0        1     75    80         296        0
297    24499          1      0        1     64    68         297        0
298    24499          1      0        1     69    68         298        0
299    24973          0      0        0     75     0         299        0
300    24999          0      0        1     76    80         300        0
301    25236          0      0        0     76     0         301        0
302    25249          0      0        1     78    80         302        0
303    25448          1      0        0     64     0         303        0
304    25448          1      0        0     69     0         304        0
305    25486          0      0        0     78     0         305        0
306    25499          0      0        1     71    80         306        0
307    25499          1      0        1     56    68         307        0
308    25501          1      0        3     64     0         308        0
309    25502          1      0        3     64   127         309        0
310    25973          0      0        0     71     0         310        0
311    25973          1      0        0     56     0         311        0
312    25999          0      0        1     76    80         312        0
313    25999          1      0        1     64    68         313        0
314    25999          1      0        1     68    68         314        0
315    26473          0      0        0     76     0         315        0
316    26499          0      0        1     78    80         316        0
317    26736          0      0        0     78     0         317        0
318    26749          0      0        1     80    80         318        0
319    26948          1      0        0     64     0         319        0
320    26948          1      0        0     68     0         320        0
321    26986          0      0        0     80     0         321        0
322    26999          0      0        1     73    80         322        0
323    26999          1      0        1     54    68         323        0
324    27001          1      0        3     64     0         324        0
325    27002          1      0        3     64   127         325        0
326    27065          0      0        1     76    80         326        0
327    27132          0      0        1     81    80         327        0
328    27473          1      0        0     54     0         328        0
329    27497          0      0        0     81     0         329        0
330    27497          0      0        0     76     0         330        0
331    27498          0      0        0     73     0         331        0
332    27499          0      0        1     81    80         332        0
333    27499          1      0        1     61    68         333        0
334    27499          1      0        1     66    68         334        0
335    27736          0      0        0     81     0         335        0
336    27749          0      0        1     80    80         336        0
337    27973          1      0        0     61     0         337        0
338    27973          1      0        0     66     0         338        0
339    27986          0      0        0     80     0         339        0
340    27999          0      0        1     78    80         340        0
341    27999          1      0        1     47    68         341        0
342    28236          0      0        0     78     0         342        0
343    28249          0      0        1     76    80         343        0
344    28473          1      0        0     47     0         344        0
345    28486          0      0        0     76     0         345        0
346    28499          0      0        1     76    80         346        0
347    28499          1      0        1     52    68         347        0
348    28501          1      0        3     64     0         348        0
349    28502          1      0        3     64   127         349        0
350    28973          1      0        0     52     0         350        0
351    28999          1      0        1     59    68         351        0
352    28999          1      0        1     64    68         352        0
353    29473          1      0        0     59     0         353        0
354    29473          1      0        0     64     0         354        0
355    29499          1      0        1     64    68         355        0
356    29499          1      0        1     68    68         356        0
357    29923          0      0        0     76     0         357        0
358    29973          1      0        0     64     0         358        0
359    29973          1      0        0     68     0         359        0
360    29999          1      0        1     52    68         360        0
361    30001          1      0        3     64     0         361        0
362    30002          1      0        3     64   127         362        0
363    30473          1      0        0     52     0         363        0
364    30499          1      0        1     59    68         364        0
365    30499          1      0        1     64    68         365        0
366    30973          1      0        0     59     0         366        0
367    30973          1      0        0     64     0         367        0
368    30999          0      0        1     80    80         368        0
369    30999          1      0        1     64    68         369        0
370    30999          1      0        1     68    68         370        0
371    31236          0      0        0     80     0         371        0
372    31249          0      0        1     81    80         372        0
373    31473          1      0        0     64     0         373        0
374    31473          1      0        0     68     0         374        0
375    31486          0      0        0     81     0         375        0
376    31499          0      0        1     80    80         376        0
377    31499          0      0        1     83    80         377        0
378    31499          1      0        1     52    68         378        0
379    31501          1      0        3     64     0         379        0
380    31502          1      0        3     64   127         380        0
381    31973          0      0        0     83     0         381        0
382    31973          0      0        0     80     0         382        0
383    31973          1      0        0     52     0         383        0
384    31999          0      0        1     83    80         384        0
385    31999          0      0        1     92    80         385        0
386    31999          1      0        1     59    68         386        0
387    31999          1      0        1     64    68         387        0
388    32236          0      0        0     92     0         388        0
389    32249          0      0        1     90    80         389        0
390    32473          0      0        0     83     0         390        0
391    32473          1      0        0     59     0         391        0
392    32473          1      0        0     64     0         392        0
393    32486          0      0        0     90     0         393        0
394    32499          0      0        1     83    80         394        0
395    32499          0      0        1     92    80         395        0
396    32499          1      0        1     64    68         396        0
397    32499          1      0        1     68    68         397        0
398    32736          0      0        0     92     0         398        0
399    32749          0      0        1     93    80         399        0
400    32973          0      0        0     83     0         400        0
401    32973          1      0        0     64     0         401        0
402    32973          1      0        0     68     0         402        0
403    32986          0      0        0     93     0         403        0
404    32999          0      0        1     83    80         404        0
405    32999          0      0        1     90    80         405        0
406    32999          0      0        1     95    80         406        0
407    32999          1      0        1     51    68         407        0
408    33001          1      0        3     64     0         408        0
409    33002          1      0        3     64   127         409        0
410    33473          0      0        0     83     0         410        0
411    33473          0      0        0     90     0         411        0
412    33473          0      0        0     95     0         412        0
413    33473          1      0        0     51     0         413        0
414    33499          0      0        1     83    80         414        0
415    33499          0      0        1     78    80         415        0
416    33499          1      0        1     59    68         416        0
417    33499          1      0        1     63    68         417        0
418    33736          0      0        0     83     0         418        0
419    33736          0      0        0     78     0         419        0
420    33749          0      0        1     85    80         420        0
421    33973          1      0        0     59     0         421        0
422    33973          1      0        0     63     0         422        0
423    33986          0      0        0     85     0         423        0
424    33999          0      0        1     83    80         424        0
425    33999          1      0        1     63    68         425        0
426    33999          1      0        1     66    68         426        0
427    34236          0      0        0     83     0         427        0
428    34249          0      0        1     81    80         428        0
429    34473          1      0        0     63     0         429        0
430    34473          1      0        0     66     0         430        0
431    34486          0      0        0     81     0         431        0
432    34499          0      0        1     80    80         432        0
433    34499          0      0        1     80    80         433        0
434    34499          1      0        1     49    68         434        0
435    34501          1      0        3     64     0         435        0
436    34502          1      0        3     64   127         436        0
437    34973          0      0        0     80     0         437        0
438    34973          0      0        0     80     0         438        0
439    34973          1      0        0     49     0         439        0
440    34999          0      0        1     80    80         440        0
441    34999          0      0        1     88    80         441        0
442    34999          1      0        1     61    68         442        0
443    34999          1      0        1     64    68         443        0
444    35236          0      0        0     88     0         444        0
