      timestamp  track  channel  event  note  midi_percentage    id  sustain
385       31999      0        0      1    92               68   385        1
386       31999      1        0      1    59               40   386        1
387       31999      1        0      1    64               40   387        1
388       32236      0        0      0    92                0   388        1
389       32249      0        0      1    90               68   389        1
390       32473      0        0      0    83                0   390        1
391       32473      1        0      0    59                0   391        1
392       32473      1        0      0    64                0   392        1
393       32486      0        0      0    90                0   393        1
394       32499      0        0      1    83               68   394        1
395       32499      0        0      1    92               68   395        1
396       32499      1        0      1    64               40   396        1
397       32499      1        0      1    68               40   397        1
398       32736      0        0      0    92                0   398        1
399       32749      0        0      1    93               68   399        1
400       32973      0        0      0    83                0   400        1
401       32973      1        0      0    64                0   401        1
402       32973      1        0      0    68                0   402        1
403       32986      0        0      0    93                0   403        1
404       32999      0        0      1    83               68   404        1
405       32999      0        0      1    90               68   405        1
406       32999      0        0      1    95               68   406        1
407       32999      1        0      1    51               40   407        1
408       33001      1        0      3    64                0   408        0
409       33002      1        0      3    64              127   409        0
410       33473      0        0      0    83                0   410        1
411       33473      0        0      0    90                0   411        1
412       33473      0        0      0    95                0   412        1
413       33473      1        0      0    51                0   413        1
414       33499      0        0      1    83               68   414        1
415       33499      0        0      1    78               68   415        1
416       33499      1        0      1    59               40   416        1
417       33499      1        0      1    63               40   417        1
418       33736      0        0      0    83                0   418        1
419       33736      0        0      0    78                0   419        1
420       33749      0        0      1    85               68   420        1
421       33973      1        0      0    59                0   421        1
422       33973      1        0      0    63                0   422        1
423       33986      0        0      0    85                0   423        1
424       33999      0        0      1    83               68   424        1
425       33999      1        0      1    63               40   425        1
426       33999      1        0      1    66               40   426        1
427       34236      0        0      0    83                0   427        1
428       34249      0        0      1    81               68   428        1
429       34473      1        0      0    63                0   429        1
430       34473      1        0      0    66                0   430        1
431       34486      0        0      0    81                0   431        1
432       34499      0        0      1    80               68   432        1
433       34499      0        0      1    80               68   433        1
434       34499      1        0      1    49               40   434        1
435       34501      1        0      3    64                0   435        0
436       34502      1        0      3    64              127   436        0
437       34973      0        0      0    80                0   437        1
438       34973      0        0      0    80                0   438        1
439       34973      1        0      0    49                0   439        1
440       34999      0        0      1    80               68   440        1
441       34999      0        0      1    88               68   441        1
442       34999      1        0      1    61               40   442        1
443       34999      1        0      1    64               40   443        1
444       35236      0        0      0    88                0   444        1
445       35249      0        0      1    87               68   445        1
446       35473      0        0      0    80                0   446        1
447       35473      1        0      0    61                0   447        1
448       35473      1        0      0    64                0   448        1
449       35486      0        0      0    87                0   449        1
450       35499      0        0      1    80               68   450        1
451       35499      0        0      1    88               68   451        1
452       35499      1        0      1    68               40   452        1
453       35499      1        0      1    73               40   453        1
454       35736      0        0      0    88                0   454        1
455       35749      0        0      1    90               68   455        1
456       35973      0        0      0    80                0   456        1
457       35973      1        0      0    68                0   457        1
458       35973      1        0      0    73                0   458        1
459       35986      0        0      0    90                0   459        1
