timestamp,track,channel,event,note,midi_value
43086,1,0,1,73,63
43141,2,0,0,56,64
43141,2,0,0,60,64
43325,1,0,1,75,57
43332,1,0,0,73,64
43357,1,0,0,75,64
43359,1,0,1,68,57
43359,2,0,1,49,49
43359,1,0,1,77,57
43605,2,0,0,49,64
43632,2,0,1,56,49
43877,2,0,0,56,64
43902,1,0,0,68,64
43902,1,0,0,77,64
43904,1,0,1,80,57
43905,2,0,1,61,49
44150,2,0,0,61,64
44150,1,0,0,80,64
44177,2,0,1,53,49
44177,1,0,1,72,57
44423,2,0,0,53,64
44450,2,0,1,61,49
44668,1,0,0,72,64
44723,1,0,1,73,57
44941,2,0,0,61,64
44995,2,0,1,65,49
45213,1,0,0,73,64
45268,1,0,1,73,57
45268,1,0,1,68,57
45486,2,0,0,65,64
45541,2,0,1,54,49
45831,2,0,0,54,64
45864,2,0,1,61,49
46154,2,0,0,61,64
46186,2,0,1,66,49
46476,2,0,0,66,64
46508,2,0,0,68,0
46509,2,0,1,68,49
46702,1,0,0,68,64
46702,1,0,0,73,64
47153,1,0,1,73,57
47435,1,0,0,73,0
47436,1,0,1,73,57
47444,1,0,0,73,64
47476,1,0,1,75,57
47766,1,0,0,75,64
47799,1,0,1,73,57
48081,1,0,1,75,57
48089,1,0,0,73,64
48121,1,0,1,68,57
48121,1,0,1,77,57
48122,2,0,1,49,49
48149,1,0,0,75,64
48367,2,0,0,49,64
48394,2,0,1,56,49
48612,1,0,0,77,64
48612,1,0,0,68,64
48640,2,0,0,56,64
48667,1,0,1,80,57
48667,1,0,1,73,57
48667,2,0,1,61,49
48912,1,0,0,73,64
48912,1,0,0,80,64
48912,2,0,0,61,64
48940,1,0,1,84,57
48940,1,0,1,75,57
48940,2,0,1,53,49
49185,2,0,0,53,64
49212,2,0,1,56,49
49458,1,0,0,84,64
49458,1,0,0,75,64
49485,1,0,1,85,57
49485,1,0,1,77,57
49645,2,0,0,56,64
49730,1,0,0,77,64
49730,1,0,0,85,64
49758,1,0,1,80,57
49758,1,0,1,73,57
49758,2,0,1,61,49
49961,1,0,0,80,0
49962,1,0,1,80,80
50003,1,0,0,73,64
50003,1,0,0,80,64
50030,1,0,1,73,57
50030,1,0,1,82,57
50191,2,0,0,61,64
50303,2,0,1,54,49
50573,1,0,0,82,64
50573,2,0,0,54,64
50573,1,0,0,73,64
50603,1,0,1,80,57
50603,2,0,1,61,49
50873,2,0,0,61,64
50903,2,0,1,68,49
51143,1,0,0,80,64
51203,1,0,1,73,57
51773,1,0,0,73,64
51803,1,0,1,73,57
52065,1,0,0,73,0
52066,1,0,1,73,57
52073,1,0,0,73,64
52103,1,0,1,75,57
52373,1,0,0,75,64
52403,1,0,1,73,57
52666,1,0,1,75,57
52673,1,0,0,73,64
52701,1,0,0,75,64
52702,1,0,0,68,0
52703,1,0,1,68,57
52703,1,0,1,77,57
52703,2,0,1,49,49
52704,2,0,0,68,64
52949,2,0,0,49,64
52976,2,0,1,56,49
53222,2,0,0,56,64
53246,1,0,0,77,64
53249,1,0,1,80,57
53249,2,0,1,61,49
53494,1,0,0,80,64
53494,2,0,0,61,64
53521,1,0,1,72,57
53522,2,0,1,53,49
53767,2,0,0,53,64
53794,2,0,1,61,49
54012,1,0,0,72,64
54067,1,0,1,73,57
54285,2,0,0,61,64
54340,2,0,1,65,49
54558,1,0,0,73,64
54612,1,0,1,68,57
54612,1,0,1,73,57
54831,2,0,0,65,64
54885,2,0,1,54,49
55155,2,0,0,54,64
55185,2,0,1,61,49
55365,1,0,0,68,64
55365,1,0,0,73,64
55485,1,0,1,66,57
55755,1,0,0,66,64
55785,1,0,1,68,57
56355,1,0,0,68,64
56385,1,0,1,73,57
56646,1,0,0,73,0
56647,1,0,1,73,57
56655,1,0,0,73,64
56685,1,0,1,75,57
56955,1,0,0,75,64
56985,1,0,1,73,57
57165,2,0,0,61,64
57247,1,0,1,75,57
57255,1,0,0,73,64
57285,1,0,1,68,57
57285,2,0,1,49,49
57285,1,0,1,77,57
57312,1,0,0,75,64
57531,2,0,0,49,64
57558,2,0,1,56,49
57776,1,0,0,77,64
57776,1,0,0,68,64
57803,2,0,0,56,64
57830,1,0,1,73,57
57830,1,0,1,80,57
57831,2,0,1,61,49
58076,1,0,0,80,64
58076,2,0,0,61,64
58076,1,0,0,73,64
58103,1,0,1,75,57
58103,2,0,1,53,49
58103,1,0,1,84,57
58349,2,0,0,53,64
58376,2,0,1,56,49
58646,1,0,0,84,64
58646,1,0,0,75,64
58676,1,0,1,85,57
58676,1,0,1,77,57
58856,2,0,0,56,64
58946,1,0,0,77,64
58946,1,0,0,85,64
58976,1,0,1,73,57
58976,2,0,1,61,49
58976,1,0,1,80,57
59200,1,0,0,80,0
59201,1,0,1,80,80
59246,1,0,0,73,64
59246,1,0,0,80,64
59276,1,0,1,73,57
59276,1,0,1,82,57
59456,2,0,0,61,64
59576,2,0,1,54,49
59876,2,0,0,54,64
59876,1,0,0,73,64
59876,1,0,0,82,64
59909,1,0,1,80,57
59909,2,0,1,61,49
60176,1,0,0,80,64
60242,1,0,1,68,57
60542,1,0,0,68,64
60576,1,0,1,73,57
60876,1,0,0,73,64
61576,1,0,1,82,57
61876,1,0,0,82,64
61909,1,0,1,84,57
62109,2,0,0,61,64
62209,1,0,0,84,64
62242,1,0,1,85,57
62242,1,0,1,77,57
62243,2,0,1,58,49
62500,2,0,0,58,64
62528,2,0,1,65,49
62757,1,0,0,77,64
62757,1,0,0,85,64
62814,1,0,1,73,57
63071,1,0,0,73,64
63100,1,0,1,75,57
63100,1,0,1,84,57
63643,1,0,0,75,64
63643,1,0,0,84,64
63671,1,0,1,72,57
63671,1,0,1,80,57
64185,1,0,0,72,64
64185,1,0,0,80,64
64207,1,0,1,80,57
64243,1,0,1,73,57
64243,1,0,1,82,57
64271,1,0,0,80,64
64528,2,0,0,65,64
64528,2,0,1,54,49
64785,1,0,0,73,64
64785,1,0,0,82,64
64786,2,0,0,54,64
64814,1,0,1,80,57
64814,2,0,1,61,49
65071,2,0,0,61,64
65100,2,0,1,68,49
65328,1,0,0,80,64
65385,1,0,1,73,57
65900,1,0,0,73,64
65957,1,0,1,75,57
66456,1,0,0,75,0
66457,1,0,1,75,80
66471,1,0,0,75,64
66527,1,0,0,68,0
66528,1,0,1,68,57
66528,1,0,1,77,57
66814,2,0,0,68,64
66814,2,0,1,49,49
67059,1,0,0,77,64
67060,2,0,0,49,64
67087,1,0,1,68,57
67087,2,0,1,56,49
67332,1,0,0,68,64
67332,2,0,0,56,64
67359,1,0,1,80,57
67360,2,0,1,61,49
67605,1,0,0,80,64
67632,1,0,1,75,57
67851,2,0,0,61,64
67905,2,0,1,48,49
68150,1,0,0,75,64
68151,2,0,0,48,64
68178,1,0,1,68,57
68178,2,0,1,56,49
68423,1,0,0,68,64
68423,2,0,0,56,64
68450,1,0,1,80,57
68451,2,0,1,60,49
68696,1,0,0,80,64
68723,1,0,1,78,57
68941,2,0,0,60,64
68996,2,0,1,46,49
69241,1,0,0,78,64
69241,2,0,0,46,64
69269,1,0,1,77,57
69269,2,0,1,53,49
69514,1,0,0,77,64
69541,1,0,1,75,57
69787,1,0,0,75,64
69814,1,0,1,73,57
70059,1,0,0,73,64
70632,1,0,1,73,57
70632,1,0,1,82,57
70878,1,0,0,73,64
70878,1,0,0,82,64
70905,1,0,1,75,57
70905,1,0,1,84,57
71069,2,0,0,53,64
71150,1,0,0,84,64
71150,1,0,0,75,64
71178,1,0,1,78,57
71178,2,0,1,54,49
71178,1,0,1,85,57
71423,2,0,0,54,64
71451,2,0,1,61,49
71696,2,0,0,61,64
71723,2,0,1,68,49
71996,1,0,1,75,57
71996,1,0,0,85,64
71996,1,0,0,78,64
71996,1,0,1,84,57
72432,1,0,0,75,64
72432,1,0,0,84,64
72541,1,0,1,72,57
72541,1,0,1,80,57
73032,1,0,0,72,64
73032,1,0,0,80,64
73053,1,0,1,80,57
73087,1,0,1,73,57
73087,1,0,1,82,57
73114,1,0,0,80,64
73360,2,0,0,68,64
73360,2,0,1,53,49
73605,1,0,0,82,64
73605,2,0,0,53,64
73605,1,0,0,73,64
73632,1,0,1,80,57
73632,2,0,1,61,49
73878,2,0,0,61,64
73905,2,0,1,65,49
74123,1,0,0,80,64
74178,1,0,1,73,57
74669,1,0,0,73,64
74723,1,0,1,75,57
75357,1,0,1,63,57
75419,1,0,1,68,57
75419,1,0,0,63,64
75480,1,0,1,70,57
75480,1,0,0,68,64
75540,1,0,0,75,0
75541,2,0,1,51,49
75541,1,0,0,70,64
75541,1,0,1,75,57
75541,2,0,0,65,64
75542,1,0,0,75,64
75787,2,0,0,51,64
75814,2,0,1,58,49
76060,2,0,0,58,64
76087,2,0,1,61,49
76359,1,0,1,66,57
76523,2,0,0,61,64
76632,2,0,1,63,49
76796,1,0,0,66,64
76905,1,0,1,68,57
77069,2,0,0,63,64
77178,2,0,1,61,49
77396,1,0,0,68,64
77450,1,0,1,70,57
77614,2,0,0,61,64
77723,2,0,1,63,49
77969,1,0,0,70,64
77996,1,0,1,73,57
78160,2,0,0,63,64
78269,2,0,1,61,49
78487,1,0,0,73,64
78541,1,0,1,75,57
78705,2,0,0,61,64
78814,2,0,1,63,49
79032,1,0,0,75,64
79087,1,0,1,78,57
79251,2,0,0,63,64
79360,2,0,1,61,49
79721,1,0,1,80,57
79782,1,0,0,80,64
79782,1,0,1,75,57
79796,2,0,0,61,64
79844,1,0,1,73,57
79844,1,0,0,75,64
79905,2,0,1,44,49
79905,1,0,1,68,57
79905,1,0,0,78,64
79905,1,0,0,73,64
80151,2,0,0,44,64
80178,2,0,1,51,49
80423,2,0,0,51,64
80451,2,0,1,54,49
80696,2,0,0,54,64
80723,2,0,1,61,49
81241,1,0,0,68,64
81269,1,0,1,68,57
81814,2,0,1,60,49
81814,2,0,0,61,64
82060,2,0,0,60,64
82086,1,0,0,68,0
82087,1,0,1,68,64
82087,2,0,1,60,40
82087,2,0,1,56,40
83069,1,0,0,68,64
83450,1,0,1,61,69
83688,1,0,0,61,0
83689,1,0,1,61,69
83696,1,0,0,61,64
83723,1,0,1,63,69
83969,1,0,0,63,64
83996,1,0,1,61,69
84051,2,0,0,56,64
84051,2,0,0,60,64
84234,1,0,1,63,55
84241,1,0,0,61,64
84269,1,0,1,65,55
84269,2,0,1,37,53
84269,1,0,1,56,55
84296,1,0,0,63,64
84538,2,0,0,37,64
84541,2,0,1,44,53
84759,1,0,0,56,64
84759,1,0,0,65,64
84807,2,0,0,44,64
84814,2,0,1,53,53
84814,1,0,1,68,69
85059,1,0,0,68,64
85084,2,0,0,53,64
85087,2,0,1,44,53
85087,1,0,1,60,60
85353,2,0,0,44,64
85360,2,0,1,51,80
85605,1,0,0,60,64
85631,2,0,0,51,64
85632,2,0,1,44,80
85632,1,0,1,61,69
85904,2,0,0,44,64
85905,2,0,1,49,80
86123,1,0,0,61,64
86177,2,0,0,49,64
86178,2,0,1,42,80
86178,1,0,1,61,69
86423,1,0,0,61,64
86696,2,0,0,42,64
86723,2,0,1,49,53
86723,1,0,1,85,57
86961,1,0,0,85,0
86962,1,0,1,85,57
86969,1,0,0,85,64
86969,2,0,0,49,64
86996,1,0,1,87,57
86996,2,0,1,56,53
87241,1,0,0,87,64
87241,2,0,0,56,64
87269,1,0,1,85,57
87269,2,0,1,49,53
87514,1,0,0,85,64
87514,2,0,0,49,64
87541,2,0,1,42,53
87541,1,0,1,94,57
87541,1,0,1,82,57
87787,2,0,0,42,64
87787,1,0,0,82,64
87787,1,0,0,94,64
87814,2,0,1,49,53
87814,1,0,1,92,57
87814,1,0,1,80,80
88059,1,0,0,80,64
88059,1,0,0,92,64
88060,2,0,0,49,64
88087,2,0,1,54,53
88332,2,0,0,54,64
88359,1,0,1,61,69
88360,2,0,1,49,53
88482,1,0,0,61,64
88496,1,0,1,63,69
88605,2,0,0,49,64
88619,1,0,0,63,64
88632,1,0,1,65,69
88632,2,0,1,37,53
88878,1,0,0,65,64
88902,2,0,0,37,64
88905,1,0,1,63,69
88905,2,0,1,44,53
89150,1,0,0,63,64
89171,2,0,0,44,64
89178,1,0,1,61,69
89178,2,0,1,49,53
89423,1,0,0,61,64
89447,2,0,0,49,64
89450,1,0,1,60,59
89450,1,0,1,68,59
89451,2,0,1,41,53
89716,2,0,0,41,64
89723,2,0,1,48,53
89969,1,0,0,68,64
89969,1,0,0,60,64
89989,2,0,0,48,64
89996,1,0,1,61,69
89996,2,0,1,53,80
90432,2,0,0,53,64
90487,1,0,0,61,64
90541,1,0,1,61,69
90541,2,0,1,42,80
90787,1,0,0,61,64
91060,2,0,0,42,64
91087,1,0,1,85,56
91087,2,0,1,49,53
91324,1,0,0,85,0
91325,1,0,1,85,56
91332,2,0,0,49,64
91332,1,0,0,85,64
91359,1,0,1,87,56
